条目编号	标题	处理类型	修改前	修改后	次数	上下文
7	传送 Teleportation	恢复英文词间空格	the	the 	1	technology that has been in use by theTraitor Legionssince theHorus Heres
7	传送 Teleportation	恢复英文词间空格	the	the 	1	" in use by theTraitor Legionssince theHorus Heresy.

混沌星际战士泯灭者能够使用传送，以及混沌"
7	传送 Teleportation	恢复英文词间空格	the	the 	1	considering their probable ties to theDark Mechanicusand their theoretica
7	传送 Teleportation	恢复英文词间空格	as	as 	1	usand their theoretical past lives asTechmarinesfor their former legions
7	传送 Teleportation	恢复英文词间空格	called	called 	1	eportation is that practiced by so-calledShadow-Walkers. Their sorcerous art
7	传送 Teleportation	恢复英文词间空格	called	called 	1	"smake use of teleportation devices calledPhase Fields.

丑角使用称为相位立场的隐形传送装置。

"
7	传送 Teleportation	恢复英文词间空格	the	the 	1	"
**Teleport Crests 传送纹章**

Used by theLeagues of Votann.

被沃坦联盟使用

**Tele"
7	传送 Teleportation	恢复英文词间空格	the	the 	1	"
**Teleporter Worm 虫传送器**

Used by theTyranids.

被泰伦使用

**Other/Universal"
7	传送 Teleportation	恢复英文词间空格	the	the 	1	tions including but not limited to theImperium, forces ofChaos,Orks,Eldar
7	传送 Teleportation	恢复英文词间空格	of	of 	1	"not limited to theImperium, forces ofChaos,Orks,Eldarand more.

“亚空间跳跃” "
7	传送 Teleportation	恢复英文词间空格	Marinesand	Marines and	1	tion is used both by ImperialSpace Marinesand their Chaoscounterparts. The ship-
7	传送 Teleportation	恢复英文词间空格	Mechanicusand	Mechanicus and	1	ng their probable ties to the Dark Mechanicusand their theoretical past lives as Te
7	传送 Teleportation	恢复英文词间空格	Eldarand	Eldar and	1	"the Imperium, forces of Chaos,Orks,Eldarand more.

“亚空间跳跃” - 不要与超光速舰船航行的过程混淆，这"
8	深入打击 Deep Strike	恢复英文词间空格	their	their 	1	example, can use drop pods or have theirTerminatorsenter battle viateleport
8	深入打击 Deep Strike	恢复英文词间空格	the	the 	1	r specialised drop troops, such as theElysian Drop Troopswithgrav-chutes.
8	深入打击 Deep Strike	恢复英文句间空格	.Sp	. Sp	1	t can be achieved via various means.Space Marines, for example, can use d
9	奴隶制度 Slavery	恢复英文词间空格	the	the 	1	Slavery is common in theGalaxyacross multiplesentient speci
9	奴隶制度 Slavery	恢复英文词间空格	the	the 	1	"undation since its inception, when theEmperorstill walked.

自帝国成立以来，奴隶制一直"
9	奴隶制度 Slavery	恢复英文词间空格	of	of 	1	Chapter Serfs, also called helots, ofSpace Marine Chaptersare bound to s
9	奴隶制度 Slavery	恢复英文词间空格	a	a 	1	es making up the teeming masses of aBattle Barge's crew. The galaxy-spa
9	奴隶制度 Slavery	恢复英文词间空格	the	the 	1	nt statues of temples belonging to theEcclesiarchy. Often thinly populate
9	奴隶制度 Slavery	恢复英文词间空格	a	a 	1	al and interstellar slave markets, aFeral Worldslave market, hive city 
9	奴隶制度 Slavery	恢复英文词间空格	Chaptersare	Chapters are	1	lso called helots, of Space Marine Chaptersare bound to serve their masters. Some
9	奴隶制度 Slavery	恢复英文句间空格	.Ch	. Ch	1	ic landscape managing these workers.Chapter Serfs, also called helots, of
9	奴隶制度 Slavery	恢复英文词间空格	the	the 	1	 slave-markets can be regulated by theAdeptus Administratum, barring sale
9	奴隶制度 Slavery	恢复英文句间空格	.Im	. Im	1	e jurisdiction of the Administratum.Imperial Navyvessels too will make re
9	奴隶制度 Slavery	恢复英文词间空格	the	the 	1	ble conditions. Infamously, during theAge of Apostasyand the reign ofGoge
9	奴隶制度 Slavery	恢复英文词间空格	of	of 	1	ng theAge of Apostasyand the reign ofGoge Vandire, theSchola Progeniumwa
9	奴隶制度 Slavery	恢复英文词间空格	the	the 	1	stasyand the reign ofGoge Vandire, theSchola Progeniumwas a highly corrup
9	奴隶制度 Slavery	恢复英文词间空格	the	the 	1	phans were used as slave labour by theEcclesiarchyin mines andmanufactoru
9	奴隶制度 Slavery	恢复英文词间空格	as	as 	1	 would swell Goge Vandire's armies asFrateris TemplarandBrides of the Em
9	奴隶制度 Slavery	恢复英文词间空格	The	The 	1	"**Imperial Navy Slavery 帝国海军奴隶制**

TheNavis Imperialisregularly makes use"
9	奴隶制度 Slavery	恢复英文词间空格	a	a 	1	ocal populations. Whether it be in aHive Citywhile at port or by simply
9	奴隶制度 Slavery	恢复英文词间空格	Worldswhere	Worlds where	1	lavery, such as ones who rulePenal Worldswhere they will be essentially sold mill
9	奴隶制度 Slavery	恢复英文句间空格	.Sh	. Sh	1	ir short lives in their lower decks.Shock-Stavesare also common sight whi
9	奴隶制度 Slavery	恢复英文词间空格	The	The 	1	 from a local district's populace. TheSlaver GuildsofNecromundaare dedica
9	奴隶制度 Slavery	恢复英文词间空格	The	The 	1	"very and the Mechanicus 奴隶制和机械教**

TheAdeptus Mechanicusbelieve that indu"
9	奴隶制度 Slavery	恢复英文词间空格	Worldshave	Worlds have	1	" World Slavery 巢都世界奴隶制**

ManyHive Worldshave entire industries dedicated to gat"
9	奴隶制度 Slavery	恢复英文句间空格	.Jo	. Jo	1	tution, skin-rings or forced labour.Joy-houseswill buy these fresh body-s
9	奴隶制度 Slavery	恢复英文词间空格	The	The 	1	"

Tech-Priest and menials 技术神甫和贫民

TheAdeptus Mechanicus Naval Fleetcorre"
9	奴隶制度 Slavery	恢复英文词间空格	of	of 	1	" done to supplement the population ofBondsmenforArk Mechanicusvessels.

"
9	奴隶制度 Slavery	恢复英文词间空格	the	the 	1	e Imperium. Organisations, such as theTutors, have sprung up to fulfill t
9	奴隶制度 Slavery	恢复英文词间空格	of	of 	1	ave race, the ancient predecessors ofHouse Goliath, are one example.Hous
9	奴隶制度 Slavery	恢复英文词间空格	the	the 	1	willing to skirt the strictures of theLore Mechanicusand dabble intech-he
9	奴隶制度 Slavery	恢复英文词间空格	the	the 	1	"费用来完全控制另一个人。

Typically created by theMagos Biologisof theAdeptus Mechani"
9	奴隶制度 Slavery	恢复英文词间空格	the	the 	1	lly created by theMagos Biologisof theAdeptus Mechanicus, servitors in th
9	奴隶制度 Slavery	恢复英文词间空格	The	The 	1	"nd the Forces of Chaos 奴隶制和混沌势力**

TheForces of Chaosreadily make use of "
9	奴隶制度 Slavery	恢复英文词间空格	The	The 	1	 and materiel for obscure research.TheEye of Terror Slave Warsis one such
9	奴隶制度 Slavery	恢复英文词间空格	Mechanicusand	Mechanicus and	1	o skirt the strictures of the Lore Mechanicusand dabble intech-heresy. Certain clie
9	奴隶制度 Slavery	恢复英文句间空格	.Og	. Og	1	a typical dregs of Imperial society.Ogrynsare generally the most popular 
9	奴隶制度 Slavery	恢复英文句间空格	.Ho	. Ho	1	s of House Goliath, are one example.House Van SaarandMagos Biologisof Nec
9	奴隶制度 Slavery	恢复英文句间空格	.Th	. Th	1	, and materiel for obscure research.The Eye of Terror Slave Warsis one su
9	奴隶制度 Slavery	恢复英文词间空格	the	the 	1	an the playthings of thedaemonsand theChaos Gods. For the glory of Chaos 
9	奴隶制度 Slavery	恢复英文词间空格	the	the 	1	"torial slaves, forced to fight for theBlood God.

战斗坑里可能挤满了角斗士奴隶，他们被迫为血神而"
9	奴隶制度 Slavery	恢复英文词间空格	a	a 	1	rprising individuals might corrupt aSector Lordor invade a star cluster
9	奴隶制度 Slavery	恢复英文词间空格	a	a 	1	"o gather more worlds and slave for aDaemon Prince.

有进取心的人可能会腐化一个星区领主或入"
9	奴隶制度 Slavery	恢复英文词间空格	The	The 	1	"个星区领主或入侵一个星群，以收集更多的世界并为一个恶魔王子做奴隶。

TheDark Mechanicumis known to control "
9	奴隶制度 Slavery	恢复英文词间空格	and	and 	1	ontrol and dominate great fiefdoms andForges, comprised of enslaved thral
9	奴隶制度 Slavery	恢复英文词间空格	of	of 	1	" 奴隶制和混沌星际战士**

There are a variety ofChaos Cultsdedicated to one of the "
9	奴隶制度 Slavery	恢复英文词间空格	the	the 	1	on Worldswill readily be raided by theBlack Legionor other warbands in or
9	奴隶制度 Slavery	恢复英文词间空格	the	the 	1	"奴隶农奴中扮演重要的角色。

Worlds conquered by theWord Bearers'Dark Apostleswill ofte"
9	奴隶制度 Slavery	恢复英文词间空格	The	The 	1	"人口将被打上烙印并戴上锁链，为亚空间的统治力量竖立大纪念碑和神殿。

TheEmperor's Childrenwill often serve "
9	奴隶制度 Slavery	恢复英文词间空格	to	to 	1	 slaves to practice their devotion toSlaanesh. For example,Noise Marines
9	奴隶制度 Slavery	恢复英文词间空格	The	The 	1	accompany their masters in battle. TheKakophonihave their own servant rac
9	奴隶制度 Slavery	恢复英文词间空格	the	the 	1	d fromvoid-bornslaves taken during theLegion Warsthat have become more ap
9	奴隶制度 Slavery	恢复英文词间空格	The	The 	1	"中衰退，这些奴隶变得更像猿，并且对主人发出的听觉瘴气具有独特免疫。

TheDeath Guardoften uses hordes of dis"
9	奴隶制度 Slavery	恢复英文词间空格	the	the 	1	"虚弱的身体和狂热的愤怒攻击敌人。

Warbands such as theLords of Silencerefers to themselve"
9	奴隶制度 Slavery	恢复英文词间空格	The	The 	1	"银河系散布暴虐和破坏。一些钢铁勇士简单地将他们的奴隶称为“血肉”。

TheNight Lordstypically implant a loca"
9	奴隶制度 Slavery	恢复英文词间空格	the	the 	1	"喉咙里植入一个定位信标。

The 9 great cults of theThousand Sonshas worlds which they "
9	奴隶制度 Slavery	恢复英文词间空格	of	of 	1	"s on slaves result in the creation ofTzaangors.

千子的九大教派拥有世界，他们从中汲取资源和巫术"
9	奴隶制度 Slavery	恢复英文词间空格	the	the 	1	lines of another war or be sent to thePlanet of Sorcerersto be used in ex
9	奴隶制度 Slavery	恢复英文词间空格	Legionor	Legion or	1	ill readily be raided by the Black Legionor other warbands in order to gather 
9	奴隶制度 Slavery	恢复英文词间空格	Marinesis	Marines is	1	ion to Slaanesh. For example,Noise Marinesis affix captives with a bizarre arra
9	奴隶制度 Slavery	恢复英文词间空格	the	the 	1	slave prove insufficient.Faenrocof theBlack Legionfound that his slaves w
9	奴隶制度 Slavery	恢复英文词间空格	The	The 	1	"ery and the Dark Eldar 奴隶制与黑暗灵族**

TheDark Eldarare known for their slave"
9	奴隶制度 Slavery	恢复英文词间空格	Eldarare	Eldar are	1	"he Dark Eldar 奴隶制与黑暗灵族**

The Dark Eldarare known for their slave raids across"
9	奴隶制度 Slavery	恢复英文句间空格	.Fa	. Fa	1	eir mortal slave prove insufficient.Faenrocof the Black Legionfound that 
9	奴隶制度 Slavery	恢复英文词间空格	the	the 	1	"间发动奴隶袭击。

Of those dragged through theForbidden Portalto Commorragh, only"
9	奴隶制度 Slavery	恢复英文词间空格	the	the 	1	thrust into the fighting arenas of theWyches. Drukhari sustain themselves
9	奴隶制度 Slavery	恢复英文词间空格	The	The 	1	"人，由于持续的杜鲁卡里入侵，已经沦为鬼城，只剩下前人口的十分之一。

TheMandrakesof the sub-realm ofAelindr"
9	奴隶制度 Slavery	恢复英文词间空格	of	of 	1	"分之一。

TheMandrakesof the sub-realm ofAelindrachtypically ask for slaves "
9	奴隶制度 Slavery	恢复英文词间空格	The	The 	1	pically ask for slaves as payment. TheHaemonculioften take part in raids 
9	奴隶制度 Slavery	恢复英文词间空格	an	an 	1	ulus might be tasked to mind-slave anImperial Knightpilot in order to de
9	奴隶制度 Slavery	恢复英文词间空格	The	The 	1	 in Commoragh's gladiatorial pits. TheWych Cultsmake use of a plethora of
9	奴隶制度 Slavery	恢复英文词间空格	The	The 	1	"*Slavery and other Eldar 奴隶制与灵族**

TheAeldariperspectives on enslavement "
9	奴隶制度 Slavery	恢复英文词间空格	The	The 	1	lavement of their own kind varies. TheAsuryaniofcraftworldsand theExodite
9	奴隶制度 Slavery	恢复英文词间空格	the	the 	1	aries. TheAsuryaniofcraftworldsand theExoditesofMaiden Worldstend to abho
9	奴隶制度 Slavery	恢复英文词间空格	As	As 	1	"

**Slavery and the Orks 奴隶制和欧克**

AsOrk Societyis dominated by its stro"
9	奴隶制度 Slavery	恢复英文词间空格	is	is 	1	lutions to this problem. The first isTributefromOrk Vassals, subservient
9	奴隶制度 Slavery	恢复英文词间空格	from	from 	1	he Orks at least) is slaves. Apart fromMekboyz, the Orks rely on slaves in
9	奴隶制度 Slavery	恢复英文词间空格	of	of 	1	"rots are the most numerous element ofOrk Society

屁精，也被称为埋汰精，是欧克社会中数量最多的"
9	奴隶制度 Slavery	恢复英文词间空格	the	the 	1	g the master from the sun, serving theFungus Winein the master's favourit
9	奴隶制度 Slavery	恢复英文词间空格	the	the 	1	servant bears the brand or mark of theOrk familyhe serves. It is better f
9	奴隶制度 Slavery	恢复英文句间空格	.Ar	. Ar	1	'ssoulthirstonly increases with age.Archonsregularly lead full-scale plan
9	奴隶制度 Slavery	恢复英文句间空格	.Ru	. Ru	1	are overseen by specialistRuntherds.Runtherds are also known as Slavers a
9	奴隶制度 Slavery	恢复英文句间空格	.Hu	. Hu	1	lso known as Slavers among the Orks.Humansin service to the Orks have als
9	奴隶制度 Slavery	恢复英文词间空格	The	The 	1	ain species of slaves over others. TheFreebooterknown asUzgulda Magnifice
9	奴隶制度 Slavery	恢复英文词间空格	as	as 	1	es over others. TheFreebooterknown asUzgulda Magnificent admits to favou
9	奴隶制度 Slavery	恢复英文词间空格	Necronsare	Necrons are	1	"*Slavery and the Necrons 奴隶制和死灵**

Necronsare known to implantMindshackle Scarab"
9	奴隶制度 Slavery	恢复英文词间空格	the	the 	1	"domitable and dark repute, such as theSautekh Dynasty.

一些死灵选择不清除世界上不洁的血肉"
9	奴隶制度 Slavery	恢复英文词间空格	the	the 	1	rs where the weak-fleshed races of theOld Oneslive out their days. They m
9	奴隶制度 Slavery	恢复英文词间空格	The	The 	1	"Slavery and the Tyranids 奴隶制与泰伦**

TheTyranidshave created bioengineered "
9	奴隶制度 Slavery	恢复英文词间空格	the	the 	1	oengineered slave species, such as theZoats. These hormone controlled sla
9	奴隶制度 Slavery	恢复英文词间空格	the	the 	1	" and high intellect ambassadors of theHive Mind.

泰伦创造了生物工程奴隶种族，如佐亚特。这些激素"
9	奴隶制度 Slavery	恢复英文词间空格	Tyranidshave	Tyranids have	1	"ery and the Tyranids 奴隶制与泰伦**

The Tyranidshave created bioengineered slave specie"
11	秩序 The Order	恢复英文词间空格	a	a 	1	"秩序箴言

The Order were the rulers of aHumanempire that resided in theGala"
11	秩序 The Order	恢复英文词间空格	the	the 	1	rs of aHumanempire that resided in theGalaspar Cluster, until the arrival
11	秩序 The Order	恢复英文词间空格	the	the 	1	"spar Cluster, until the arrival of theImperium'sGreat Crusade.

秩序是居住在加拉斯"
11	秩序 The Order	恢复英文词间空格	the	the 	1	"直到帝国的大远征的到来。

**History 历史**

When theImperiumsought to have the Order jo"
11	秩序 The Order	恢复英文词间空格	the	the 	1	msought to have the Order join it, theCluster's rulers, who were led by L
11	秩序 The Order	恢复英文词间空格	the	the 	1	ffer. This gained the attention of thePrimarchMortarion, who made note of
11	秩序 The Order	恢复英文词间空格	his	his 	1	arity to the cruelty the people of hisHomeworld,Barbarus, had once suffer
11	秩序 The Order	恢复英文词间空格	into	into 	1	" and the former empire was brought intoComplianceby the Imperium.

当帝国试图让秩"
12	加迪纳尔 Gardinaal	恢复英文词间空格	a	a 	1	The Gardinaal were aHumancivilization encountered by th
12	加迪纳尔 Gardinaal	恢复英文词间空格	the	the 	1	" aHumancivilization encountered by theImperiumduring theGreat Crusade.

加"
12	加迪纳尔 Gardinaal	恢复英文词间空格	the	the 	1	"n encountered by theImperiumduring theGreat Crusade.

加迪纳尔是帝国在大远征期间遇到的一个人"
12	加迪纳尔 Gardinaal	恢复英文词间空格	as	as 	1	ngle Star System in a region known asAstrid's Necklace, Gardinaal had we
12	加迪纳尔 Gardinaal	恢复英文词间空格	the	the 	1	 Necklace, Gardinaal had weathered theAge of Strifeintact. Having since a
12	加迪纳尔 Gardinaal	恢复英文词间空格	the	the 	1	 saw violence during negotiations, theImperiumwould invade the Gardinaal 
12	加迪纳尔 Gardinaal	恢复英文词间空格	the	the 	1	ld invade the Gardinaal as part of theGreat Crusade. In the subsequentFal
12	加迪纳尔 Gardinaal	恢复英文词间空格	under	under 	1	ation was subdued by the Imperials underFerrus Manus. After the battle, fam
12	加迪纳尔 Gardinaal	恢复英文词间空格	Imperiumduring	Imperium during	1	"mancivilization encountered by the Imperiumduring the Great Crusade.

加迪纳尔是帝国在大远征期间遇"
13	英特雷斯 Interex	恢复英文词间空格	the	the 	1	"mancivilisation during the time of theGreat Crusade.

在大远征时期，英特雷斯是一个高度发达的"
13	英特雷斯 Interex	恢复英文词间空格	of	of 	1	"anguage - an evolved human dialect ofTerra- but very rarely.

英特雷斯是高大的人类"
13	英特雷斯 Interex	恢复英文词间空格	from	from 	1	he Interex were humans originating fromTerra, that created their own civil
13	英特雷斯 Interex	恢复英文词间空格	the	the 	1	 some point they made contact with theEldar, who told them about the dang
13	英特雷斯 Interex	恢复英文词间空格	of	of 	1	r, who told them about the dangers ofChaosand the threat that the inhabi
13	英特雷斯 Interex	恢复英文词间空格	the	the 	1	ter, the Interex made contact with theKinebrach, who were defeated as a r
13	英特雷斯 Interex	恢复英文词间空格	the	the 	1	t the start of the conflict.During theGreat Crusadethe Interex were encou
13	英特雷斯 Interex	恢复英文词间空格	the	the 	1	adethe Interex were encountered by theLuna Wolvesand at that time their c
13	英特雷斯 Interex	恢复英文词间空格	the	the 	1	ny ways more advanced than that of theImperium, but not as strongly focus
13	英特雷斯 Interex	恢复英文词间空格	the	the 	1	vered to be First ChaplainErebusof theWord Bearers) infiltrated the Hall 
13	英特雷斯 Interex	恢复英文词间空格	an	an 	1	dangerous Kinebrach sword known as anAnathame.Fightingbroke out between 
13	英特雷斯 Interex	恢复英文词间空格	by	by 	1	The stolenAnathame, secretly taken byErebus, would be the weapon that la
13	英特雷斯 Interex	恢复英文词间空格	the	the 	1	"before the beginning of the war on theAuretian Technocracy.

致力于对抗混乱（他们称之"
13	英特雷斯 Interex	恢复英文词间空格	the	the 	1	her example of Interex weaponry is theInterex mauler. A lightweight pisto
13	英特雷斯 Interex	恢复英文词间空格	the	the 	1	brocarius. Made first contact with theImperium, meetingHorusand theLuna W
13	英特雷斯 Interex	恢复英文词间空格	the	the 	1	" with theImperium, meetingHorusand theLuna Wolvesafter theWar on Murder
-"
13	英特雷斯 Interex	恢复英文词间空格	the	the 	1	"eetingHorusand theLuna Wolvesafter theWar on Murder
- 迪亚斯·谢恩 - 中间人。与帝国第一个"
13	英特雷斯 Interex	恢复英文词间空格	Chaosand	Chaos and	1	who told them about the dangers of Chaosand the threat that the inhabitants of
13	英特雷斯 Interex	恢复英文句间空格	.At	. At	1	that created their own civilization.At some point they made contact with 
13	英特雷斯 Interex	恢复英文句间空格	.Du	. Du	1	ystems at the start of the conflict.During the Great Crusadethe Interex w
13	英特雷斯 Interex	恢复英文句间空格	.Fi	. Fi	1	inebrach sword known as an Anathame.Fightingbroke out between Space Marin
13	英特雷斯 Interex	恢复英文句间空格	.Th	. Th	1	s successfully evacuated off planet.The stolenAnathame, secretly taken by
13	英特雷斯 Interex	恢复英文句间空格	.La	. La	1	 be aliens in the shape of centaurs.Later it was found the centaur base w
14	奥瑞提安技术联盟 Auretian Technocracy	恢复英文词间空格	the	the 	1	"peditiondestroyed it at the end of theGreat Crusade.

奥瑞提安技术联盟是一个名为德拉科尼斯3"
14	奥瑞提安技术联盟 Auretian Technocracy	恢复英文词间空格	the	the 	1	" armoursimilar to that employed by theAdeptus Astartes.

技术联盟利用至少一个STC模板中"
14	奥瑞提安技术联盟 Auretian Technocracy	恢复英文词间空格	the	the 	1	"阿斯塔特修会所使用的动力盔甲。

Upon encountering theImperium, the ruler of the Technocr"
14	奥瑞提安技术联盟 Auretian Technocracy	恢复英文词间空格	with	with 	1	r Consul) and his honour guard met withWarmasterHoruson theVengeful Spirit
14	奥瑞提安技术联盟 Auretian Technocracy	恢复英文词间空格	the	the 	1	our guard met withWarmasterHoruson theVengeful Spirit. The Consul mention
14	奥瑞提安技术联盟 Auretian Technocracy	恢复英文词间空格	the	the 	1	ince secretly pledged to overthrow theEmperor) drew his pistol, killed th
14	奥瑞提安技术联盟 Auretian Technocracy	恢复英文词间空格	the	the 	1	he Consul on the spot, and ordered theSons of Horusto exterminate the Con
14	奥瑞提安技术联盟 Auretian Technocracy	恢复英文词间空格	Horusto	Horus to	1	 the spot, and ordered the Sons of Horusto exterminate the Consul's Brotherho
15	戈尔迪安联盟 Gordian League	恢复英文词间空格	a	a 	1	The Gordian League was aHumancivilization that alongside it
15	戈尔迪安联盟 Gordian League	恢复英文词间空格	its	its 	1	 aHumancivilization that alongside itsXenosallies battled theImperiumin t
15	戈尔迪安联盟 Gordian League	恢复英文词间空格	the	the 	1	t alongside itsXenosallies battled theImperiumin the later days of theGre
15	戈尔迪安联盟 Gordian League	恢复英文词间空格	the	the 	1	ed theImperiumin the later days of theGreat Crusade. The League was a con
15	戈尔迪安联盟 Gordian League	恢复英文词间空格	by	by 	1	e campaign itself was orchestrated byWarmasterHorus, who hoped to bog do
15	戈尔迪安联盟 Gordian League	恢复英文词间空格	the	the 	1	masterHorus, who hoped to bog down theDark Angelsand their loyalPrimarchL
15	戈尔迪安联盟 Gordian League	恢复英文词间空格	the	the 	1	hile he began his campaign against theEmperor. The Dark Angels were still
15	戈尔迪安联盟 Gordian League	恢复英文词间空格	the	the 	1	idst of the operation when news of theVirus BombingofIsstvan IIIand treac
15	戈尔迪安联盟 Gordian League	恢复英文词间空格	the	the 	1	mbingofIsstvan IIIand treachery of theSons of Horus,World Eaters,Death Gu
15	戈尔迪安联盟 Gordian League	恢复英文词间空格	and	and 	1	of Horus,World Eaters,Death Guard, andEmperor's Childrenreached Lion El'J
15	戈尔迪安联盟 Gordian League	恢复英文词间空格	the	the 	1	tch a smaller hand-picked force to theForge WorldofDiamatto secure its re
15	戈尔迪安联盟 Gordian League	恢复英文词间空格	Imperiumin	Imperium in	1	ngside its Xenosallies battled the Imperiumin the later days of the Great Crusad
16	毁灭兄弟会 The Brotherhood of Ruin	恢复英文词间空格	an	an 	1	The Brotherhood of Ruin was anAbhumanempire operating around theM
16	毁灭兄弟会 The Brotherhood of Ruin	恢复英文词间空格	the	the 	1	s anAbhumanempire operating around theMaelstromduring theGreat Crusadeper
16	毁灭兄弟会 The Brotherhood of Ruin	恢复英文词间空格	the	the 	1	perating around theMaelstromduring theGreat Crusadeperiod. Commanding man
16	毁灭兄弟会 The Brotherhood of Ruin	恢复英文词间空格	of	of 	1	 of small ships and having a force ofOrkmercenaries, the warlords of the
16	毁灭兄弟会 The Brotherhood of Ruin	恢复英文词间空格	the	the 	1	eir cyborg and Ork legions against theAdeptus Mechanicusworld ofSarum. Ho
16	毁灭兄弟会 The Brotherhood of Ruin	恢复英文词间空格	of	of 	1	against theAdeptus Mechanicusworld ofSarum. However they were annihilate
16	毁灭兄弟会 The Brotherhood of Ruin	恢复英文词间空格	the	the 	1	. However they were annihilated by theWorld Eatersin theGolgothan Slaught
16	毁灭兄弟会 The Brotherhood of Ruin	恢复英文词间空格	the	the 	1	"e annihilated by theWorld Eatersin theGolgothan Slaughter.

毁灭兄弟会是一个在大远征时"
16	毁灭兄弟会 The Brotherhood of Ruin	恢复英文词间空格	Mechanicusworld	Mechanicus world	1	nd Ork legions against the Adeptus Mechanicusworld of Sarum. However they were annihi
17	流散者 The Diasporex	恢复英文词间空格	the	the 	1	d prowled interstellar space since theAge of Strifeand had joined with ot
17	流散者 The Diasporex	恢复英文词间空格	the	the 	1	"，并与其他异型种族一起形成了一个共生的多元文化文明。

During theGreat Crusade, theIron Handsencount"
17	流散者 The Diasporex	恢复英文词间空格	the	the 	1	"的多元文化文明。

During theGreat Crusade, theIron Handsencountered the Diasporex"
17	流散者 The Diasporex	恢复英文词间空格	the	the 	1	rom their alien allies and to join theImperium. They declined. In the upc
17	流散者 The Diasporex	恢复英文词间空格	the	the 	1	"，甚至设法损坏了一艘钢铁之手巡洋舰。

At this point, theEmperor's Childrenwere called in as"
17	流散者 The Diasporex	恢复英文词间空格	the	the 	1	 sector. Attacking these stations, theSpace Marinesfleets lured the Diasp
17	流散者 The Diasporex	恢复英文词间空格	the	the 	1	iasporex fleet into open battle at theBattle of the Corollis Star, where 
17	流散者 The Diasporex	恢复英文词间空格	the	the 	1	of seizing the Diasporex ship from thePrimarchFulgrim. The final words of
17	流散者 The Diasporex	恢复英文词间空格	An	An 	1	hey were employed as slave labour. AnAdeptus Mechanicusdetachment from t
18	帝国 Imperium	Field 对应的错别字	盖勒立场	盖勒力场	1	
21	石人 Men of Stone	恢复英文句间空格	.Th	. Th	1	 purpose of deep space colonization.Though physically inferior to their c
23	导师 Sensei	恢复英文句间空格	.Of	. Of	1	erly unmentioned in the second book.Of note is however that the connectio
25	欧格林 Ogryn	恢复英文词间空格	into	into 	1	l warriors and are often recruited intoImperial Guardregiments to be used 
25	欧格林 Ogryn	恢复英文句间空格	.Th	. Th	1	 physically powerful type ofabhuman.They make ideal warriors and are ofte
25	欧格林 Ogryn	恢复英文词间空格	the	the 	1	one of the most contentious within theAdministratum'sAbhuman department. 
25	欧格林 Ogryn	恢复英文句间空格	.Og	. Og	1	iduals to the same extent as humans.Ogryns have a genetic aversion to sma
25	欧格林 Ogryn	恢复英文句间空格	.Va	. Va	1	f strain classification is required.Vat-grown strains of Ogryn exist and 
