段落ID,篇号,原译,校订译文,说明
A0001-B0026,1,灵能焦点是灵能者用来帮助他们集中注意力和增强力量的技术或设备。装置可以是圣骨、雕刻的女巫棍、祝福圣像、水晶、机械神教制作的复杂装置或其他东西。在帝国中，灵能者使用的最著名的无疑是帝皇塔罗牌，它有助于在训练有素的灵能者手中充当强大的占卜工具。,灵能者会借助各种技巧或器具，集中并增强自己的力量。这些器具可以是圣骨、雕饰的巫杖、受祝福的圣像、水晶，也可以是机械修会制造的精密装置。在帝国灵能者使用的诸多器具中，最著名的无疑是帝皇塔罗牌。在训练有素的灵能者手中，它能成为强大的占卜工具。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0001-B0029,1,失心者是弱者，是被压迫者 — 他们的身体可能会布局阻止他们参加战争，但他们的思想如此强大，以至于在他们死后将他们被摧毁的身体捆绑在一起。亚空间对这些人耳语，它的居民总是抓着他们理智的碎片，因为他们的存在超越了帝皇的恩典。凝视这样一个人的眼睛，就是将自己的理智屈服于更大的疯狂，死亡只是暂时的缓解。,失心者是衰弱而受压迫的人。他们的肉体或许已无力承受战争，心智却强大到足以在死后仍维系那具残破的躯体。亚空间不断向他们低语，其中的住民也不断侵蚀他们残存的理智，因为他们已不在帝皇的恩典庇佑之下。凝视他们的双眼，便如同将自己的理智献给更深的疯狂；即使死亡，也只能带来片刻解脱。,英文 physical bodies may plot to preclude them from war 表述生硬，按肉体状况妨碍作战理解；保留为英文源文疑点。
A0001-B0034,1,“想象一下，知道有一扇通往恶魔领域的门，只要你稍有疏忽，他们就会把你砸成碎片。现在想象一下，那扇门就在你的脑海里。这就是成为一名灵能者的感觉。”,“试想，你知道有一扇门通向恶魔的领域；只要稍有疏忽，恶魔就会撞破那扇门，将你撕成碎片。再想象一下，那扇门就在你的脑海之中。这就是身为灵能者的感受。”,对应英文引语在 B0032，署名位于 B0033；原有逐段配对需跨越署名，已人工对齐。
A0001-B0035,1,—卡斯图斯·卢帕，辅助学者,——卡斯图斯·卢帕，助理学者,对应英文署名 B0033；人名与职衔均为暂定译名。
A0001-B0037,1,最早的人类灵能者是被称为萨满的强大生物，但在他们灭亡和创造帝皇之后，灵能者将在数千年内不再为人类所知。灵能者于M22结束时首次大量出现，代表了人类的未来：人类将进化成的理想生物，一种更强大、更聪明、更有能力的生命形式。灵能突变在人类中越来越普遍，预示着一个新的灵能种族的出现。这个新种族仍然很弱，其成员缺乏抵抗亚空间危险所需的灵能力量。它们既是帝国的威胁，也是帝国的福音。,最早的人类灵能者是被称为萨满的强大个体。在萨满消亡、帝皇诞生之后，灵能者有数千年未再为人类所知。直到第 22 千年末，他们才首次大规模出现。灵能者代表着人类可能进化成的未来形态：更强大、更聪慧，也更有能力的生命。灵能突变在人类中日益普遍，预示着一个新的灵能种族正在形成。然而，这个种族仍很脆弱，其成员尚不具备抵御亚空间危险所需的精神力量。对帝国而言，他们既是威胁，也是助力。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0001-B0039,1,如果不加以控制，灵能者对整个世界构成了潜在的危险，审判庭的大部分职责都是追捕他们。帝国确保灵能者被压制、追踪和控制；那些足够强壮的人将被招募到帝国服役，在帝国中扮演星语者和合法灵能者的重要角色。最弱小的人注定要通过在星炬中服务来为人类服务，作为人类帝皇的营养，或者仅仅是切除脑叶，成为无数的机仆之一，而少数人则被带到星语庭的黑曜石要塞，在那里等待着他们的是未知的命运。被污染的人在到达泰拉之前被清除并处决。,若不加控制，灵能者可能危及整颗星球，因此搜捕他们也是审判庭的重要职责。帝国对灵能者进行压制、追踪和管控，其中力量足够强的人会被征召，成为星语者或合法灵能者，承担至关重要的工作。最弱小者的命运则可能是被送入星炬庭服役、成为人类帝皇的养料，或接受脑叶切除手术，沦为无数机仆中的一员。另有少数人被带往星语庭的黑曜石要塞，等待他们的命运无人知晓。已经遭到污染的人，则会在抵达泰拉之前被甄别出来并处决。,区分机构 Adeptus Astronomica（星炬庭）与信标 Astronomican（星炬）；英文原文重复的 or or 不带入中文，英文仍保留。
A0001-B0041,1,帝国根据其灵能能力水平对自己的灵能者进行分类。被称为分级，给出的级别表示灵能的力量。奥密克戎级别的灵能者可能只具有轻微的潜意识激活的灵能能力，而超级阿尔法级别的灵能者能够将泰坦一分为二。,帝国按照灵能强度为灵能者划分等级，这套制度称为“灵能分级”（The Assignment）。例如，奥密克戎级灵能者可能仅能在无意识中发动微弱的灵能；阿尔法加级灵能者却足以将一台泰坦折成两半。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0001-B0043,1,诅咒灵能者化。灵能突变通常在很小的时候就表现出来，但迟早会出现例外。现在所谓的“新生”灵能者可能天生具有潜伏突变，或者可能会在受到亚空间的破坏性影响下发生突变。在这个新时代，大裂隙的破坏力以前所未有的数量唤醒了灵能者。理论上，帝国中的任何人现在都有可能成为潜在的灵能者。,大裂隙（Cicatrix Maledictum）的出现改变了这一切。灵能突变通常在幼年便会显现，但也会出现更早或更晚觉醒的例外。如今，所谓的“新生”灵能者可能生来就带有潜伏的突变，也可能是在亚空间破坏性力量的影响下才发生突变。在这个新时代，大裂隙以前所未有的规模唤醒灵能者。理论上，帝国中的任何人都有可能成为灵能者。,修复首句原译严重残缺；Cicatrix Maledictum 与 Great Rift 按同一现象处理，首处保留英文别名。
A0001-B0046,1,帝国海军在每艘舰艇上都使用灵能者，但帝国超光速通信需要星语者，帝国超光速旅行需要导航者。前者只是一名受过专门训练的灵能者；后者是一个天生适合这个角色的亚人灵能者。,帝国海军的每艘舰船上都有灵能者，但超光速通信必须依靠星语者，超光速航行则需要导航员。前者是接受过专门训练的灵能者，后者则属于天生具备导航天赋的亚人灵能者。,Navigator 采用 GW-09 中文第 24 页与 GW-10 英文第 24 页对应的官方译名“导航员”；本批同时回查已精校篇目的相同称谓。
A0001-B0049,1,帝国卫队的灵能部队是灵能导师、较弱的合法灵能者和战斗灵能者。他们在星语庭的灵能学院接受训练，以便在战场上服役。,帝国卫队的灵能力量包括灵能导师、力量较弱的合法灵能者，以及战斗灵能者。他们在星语庭所属的灵能学院接受训练，随后被派往战场。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0001-B0050,1,The Inquisition 审判官,The Inquisition 审判庭,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0001-B0052,1,审判官总是与众不同的人，因此许多人都是强大的灵能者。,审判官无一不是出类拔萃的人物，其中许多人也是强大的灵能者。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0001-B0055,1,星际战士避开那些有灵能能力的人，但他们也利用了一个单位，即智控。他也受过类似的训练，但也受益于先进的装备，如灵能护罩。这些优势，再加上他出色的星际战士生理，使智库比普通合法灵能者更有用。智库的能量稍微强大一些，但与其他一些种族相比仍然微不足道。,星际战士通常对灵能者抱有戒心，但也会使用名为智库员的灵能战士。智库员接受相应的灵能训练，还能使用灵能兜帽等先进装备。再加上星际战士超凡的生理机能，他们在战场上的作用通常胜过普通合法灵能者。智库员的灵能略胜一筹，但与某些其他种族的力量相比，仍显得微不足道。,Librarian 依官方阵营包统一为智库员，原译智控为错译。psychic hood 暂译灵能兜帽。
A0001-B0057,1,此外，整个灰骑士战团都是强大的灵能者。,此外，灰骑士战团的全体成员都是强大的灵能者。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0001-B0060,1,太空野狼相信他们使用的力量不是来自亚空间，而是来自他们自己和芬里斯内部的能量。,太空野狼相信，他们的力量并非来自亚空间，而是源于自身以及芬里斯之中蕴藏的能量。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0001-B0064,1,混沌太空海军陆战队在设计上与太空海军陆军相似，使用魔法师而不是图书馆员。,混沌星际战士军队的灵能编制与星际战士类似，只是由巫师取代了智库员。,按 Space Marines 和 Librarians 的设定语境纠正陆战队、图书馆员等字面误译。
A0001-B0067,1,被统称为迷失者和被诅咒者的混沌力量包括非法灵能者（其中包括心灵女巫）。非法灵能者的理智值得怀疑，而且非常危险，更容易被恶魔占据。此外，与帝国骑士不同，混沌骑士家族有时会让灵能者登上王位，从而产生憎恶骑士。,统称为“迷失者与被诅咒者”的混沌势力中，也包括非法灵能者，其中还有被称为心灵女巫的个体。这些人心智不稳，极度危险，也更容易遭到恶魔附身。此外，混沌骑士家族与帝国骑士家族不同，有时会让灵能者登上骑士王座，由此诞生憎恶骑士。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0001-B0070,1,虽然所有恶魔都是亚空间实体，但许多恶魔也是灵能者。在恐虐的下属中不存在灵能者，但其他混沌神明有——还有恶魔灵能者与任何一个神明都不结盟，比如比拉克。,所有恶魔都源自亚空间，其中许多同时也是灵能者。恐虐不容许自己的仆从使用灵能，其他混沌诸神却没有这种禁忌。此外，也有不效忠于任何一位神祇的恶魔灵能者，比拉克尔便是其中之一。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0001-B0074,1,灵族是一个灵能种族，他们的一些最强大的单位拥有强大的灵能能力。踏上先知之路的灵族是战巫。灵魂先知是专门的战巫。先知是迷失在先知之路上的灵族。,灵族是天生具备灵能的种族，其中某些最强大的战士拥有极为强劲的灵能力量。踏上先知之道的灵族可以成为战巫；灵魂先知则是一类专精于特定领域的战巫。大先知则是沉溺于先知之道、再也无法脱离这条道路的灵族。,按当前英文保留对 Warlock、Spiritseer 与 Farseer 的分类说法；其设定准确性单列待核，不另行补写。
A0001-B0076,1,他们的力量通常是微妙的，从对未来的观测到探测敌人的行动，再到打心灵战斗。然而，先知可能能够利用念力将战斗坦克抛向空中。一个特殊的方舟世界，乌斯维，也可能将其最强大的灵能单位组合在一起，形成一个昂贵但毁灭性的单位。,灵族的灵能往往以微妙的方式发挥作用，例如预见未来、侦察敌人的动向，或在精神层面与敌人交锋。不过，大先知也可能凭借念动力，将一辆主战坦克掀至半空。乌斯维方舟世界还会将最强大的灵能战士集结起来，组成一支代价高昂、破坏力却极为惊人的部队。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0001-B0079,1,黑暗灵族在性质上与灵族相似，但已经放弃使用灵能力量。他们确实使用灵能物品，但在科摩罗上发现的任何灵能物品通常都会受到非常谨慎和恐惧的对待。由于他们城市的性质，使用灵能力量是科摩罗为数不多的被禁止的事情之一。暗影先知是这条规则的一个明显例外。,黑暗灵族与灵族有着相近的天性，却已经放弃使用灵能。他们仍会使用蕴含灵能的物品，但对任何出现在科摩罗的灵能者，通常都会抱有深深的戒惧。由于这座城市的特殊性质，使用灵能是科摩罗为数不多的禁忌之一；暗影先知则是一个显著的例外。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0001-B0082,1,暗影先知是分配给灵族灵能者的丑角角色。灵族海盗应用了织魂者、寻路者和空梦者。,在丑角剧团中，具有灵能的灵族会担任暗影先知。灵族海盗的灵能成员则包括织魂者、寻道者和虚空梦行者。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0001-B0083,1,Ork Psykers 欧克灵能者,Ork Psykers 欧克蛮人灵能者,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0001-B0085,1,欧克灵能者的独特之处在于，他们从其他欧克身上汲取精神力量，而不是直接从亚空间汲取。一大群兽人往往会产生所谓的Waaagh！然后被称为怪异小子的欧克灵能者吸收。他们对此几乎没有控制权，太多的集结可能会爆炸欧克的头部并摧毁周围地区。怪异小子像大多数其他脆弱的灵能者一样避免战斗，但可以投射绿色火焰，熔化盔甲并杀死里面的战士。怪异小子的力量是不可预测的，可能会产生灾难性的结果，但这些单位的收益经常被战争头目看到。,欧克蛮人灵能者的独特之处在于，他们从其他欧克蛮人身上汲取力量，而非直接从亚空间获取。大量欧克蛮人聚集时，往往会产生所谓的 Waaagh! 力场，再由被称为灵能小子的灵能者吸收。灵能小子几乎无法控制这股力量；能量积聚过多时，甚至会炸开他们的头颅，并摧毁周围地区。他们与多数脆弱的灵能者一样，会设法避开战斗，却能喷射熔穿装甲、杀死其中战士的绿色烈焰。虽然这种力量难以预测，还可能酿成灾难，战争头目仍经常能看出他们的用处。,Weirdboy 按已核官方中英文单位表统一为“灵能小子”；原译“怪异小子”仍保留在对照栏。
A0001-B0088,1,钛还没有发展出灵能能力，这可能是由于他们大脑中的一种化学混合物阻止了他们接触亚空间。为什么会出现这种情况尚不清楚，但它可以防止钛帝国轻易被混沌势力腐蚀。他们的单位都没有灵能能力。,钛族尚未发展出灵能，原因可能是其脑内的某种化学物质组合阻断了他们与亚空间的联系。这一特征为何形成尚不清楚，但它让钛帝国不易受到混沌势力的腐化。钛族的各类部队都不具备灵能。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0001-B0090,1,然而，钛的盟友种族中至少有两个，克鲁特人和尼卡萨人，拥有灵能能力。尼卡萨人主要利用他们的灵能力量力量来驾驶他们的单桅战舰穿越广阔的太空，并为钛太空舰队提供护卫舰。,不过，钛族的盟友中至少有两个种族具备灵能：克鲁特人与尼卡萨人。尼卡萨人主要借助灵能，引导自己的单桅舰穿行于浩瀚太空，并为钛帝国的太空舰队提供护航舰船。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0001-B0092,1,以具有灵能力量的生物为食的克鲁特人可能会发展出自己的力量。这些克鲁特人被他们的亲属称为萨满，并负责领导他们的克鲁特人同胞进行先祖崇拜。克鲁特人也能够进行亚空间航行，尽管他们似乎只能前往具有正常生态系统的行星。,吞食过灵能生物的克鲁特人，也可能获得灵能力量。他们被同族称为萨满，负责主持先祖崇拜仪式。克鲁特人也能进行亚空间航行，不过他们似乎只能抵达具有正常运作生态系统的行星。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0001-B0094,1,机械神教的研究人员发现，钛以太氏族的成员在额头上拥有一个巨大的钻石形嗅觉器官，这可能使他们能够通过释放信息素或其他生物手段来控制其他钛族；没有证据表明这与亚空间有任何关系。,机械修会的研究人员发现，钛族以太阶层成员的额头上长有一个硕大的菱形器官，能够散发气味。他们或许正是借助信息素，或其他生物学机制，控制其他钛族成员。目前没有证据表明，这种能力与亚空间有关。,scent-emitting 指散发气味，原译嗅觉器官改变了功能；修复为能够散发气味的菱形器官。
A0001-B0096,1,在远见远征期间，远见遇到了一个可怕的新敌人，即混沌恶魔，它从一个巨大的钛族人身上竖立的神秘门户中出现。在战斗中，远见的所有随行以太都被这些可怕的生物杀死了，远见之所以能够取得胜利，是因为他发现了一把用来关闭传送门的神秘刀刃，尽管他曾短暂地被极端的嗜血欲望所征服。与这些敌人作战并凝视他们险恶的门户的经历让欧’肖瓦感到不安，他意识到有比以太告诉他的更大的威胁。,在远见远征期间，远见遭遇了一种可怕的新敌人：混沌恶魔。它们从一座巨大高台上耸立的神秘传送门中涌出。战斗中，随行的以太尽数死于这些恐怖生物之手。远见发现了一把神秘的利刃，并用它关闭传送门，才得以赢得胜利；但他也曾短暂陷入极端的嗜血狂热。与这些敌人交战、凝视那道邪恶传送门的经历令欧·肖瓦深受震撼。他意识到，现实中的威胁远比以太向他揭示的更加可怕。,Dais 指高台，原译巨大钛族人为错译；修复传送门所在位置。
A0001-B0098,1,在奠定远见飞地的基础后不久，远见决定放逐自己，这最终使他免于混沌之神恐虐和奸奇的腐化，他们开始在阿尔萨斯·摩洛克身上腐蚀他的灵魂。,在初步建立远见飞地后不久，远见决定自我放逐。这一决定最终使他免遭恐虐与奸奇的腐化；这两位混沌之神早在阿尔萨斯·摩洛克就已开始谋划侵蚀他的灵魂。,Arthas Moloch 在英文中为地点，修复原译在某人身上的错误指代。
A0001-B0099,1,Necron Psykers 死灵灵能者,Necron Psykers 太空死灵灵能者,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0001-B0101,1,墓穴技师是死灵的技术专家，他们的目的是研究他们种族的高度先进和古老的技术。他们是科学和技术的大师，在许多方面，墓穴技师的力量反映了其他种族的灵能者所使用的力量，如帝国和灵族。然而，它们的不同之处在于，墓穴技师没有使用突变思维来引导亚空间能量，而是利用神秘科学来驾驭宇宙的基本力量。,墓穴技师是太空死灵的技术专家，专门研究本族极为先进的古老科技。他们精通科学与技术，其许多能力在表现上与人类帝国或灵族等势力的灵能者十分相似。区别在于，他们并不依靠突变的心智引导亚空间能量，而是运用深奥的科学，驾驭宇宙的基本作用力。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0001-B0103,1,无尽者塔拉辛携带了一名被称为移情泯灭杖的特殊权杖，据传该权杖拥有古圣的技术。如果移情泯灭杖杀死敌人，灵能冲击波会从受害者的身体中涟漪出来，击倒附近所有具有相似思想和目的的生物。,无尽者塔拉辛持有一柄名为“移情泯灭杖”的特殊权杖，据传其中蕴含着古圣的技术。一旦权杖杀死目标，一道灵能冲击波便会从死者体内向外扩散，击倒附近所有心智与意图相近的生物。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0001-B0104,1,Tyranid Psykers 泰伦灵能者,Tyranid Psykers 泰伦虫族灵能者,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0001-B0106,1,泰伦虫族的部队是高度相互联系的，并通过灵能力量相互链接。虫巢暴君充当地面其他部队的节点。施虐者作为诺恩女王和其他地面部队之间的中继，帮助协调轨道上的攻击。,泰伦各部队通过灵能紧密联结。虫巢暴君充当地面部队的联络节点；施虐者则在诺恩女王与地面虫群之间中继信息，协助从轨道协调进攻。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0001-B0108,1,他们使用亚空间进行交流和航行，大部分时间都在亚空间中度过，在行星之间旅行以寻找食物。泰伦倾向于不攻击性地使用他们的灵能力量，除了灵吸虫和神经虫，他们的灵能能力是毁灭性的。,本段原文称，泰伦借助亚空间通信、航行，在其中度过大量时间，往返各星球寻找食物。它们通常不将灵能用于主动攻击，但脑虫和神经脑虫例外，能够发挥毁灭性的灵能威力。,原文称泰伦通过亚空间航行，与579/角鲸舰条目冲突，保留但明确为本段说法。Zoanthropes官译脑虫；Neurothropes暂神经脑虫，区别Neurogaunts神经虫。
A0001-B0111,1,基因窃取者主教父母至少有一个是灵能者，这与它的异型DNA相结合，使这种生物成为一种非常强大的灵能生物。他们可以利用自己的灵能能力强迫或奴役他人。如果一位族长或主教完全统治一个地区，聚集在他周围的灵能阴影将变得更暗、更厚，直到它开始融合。这片不断缩小的瘴气凝聚成了一种长着多条肢体的形态，它被称为基因窃取者魔宠，会忠心耿耿地侍奉其主教。被称为教派圣祝者的特别强大的灵能者也被基因窃取者应用。,基因窃取者占星师的双亲中，至少一方具有灵能；这种天赋与异形DNA相结合，使其成为极其强大的灵能生物，能够强迫或奴役他人为教派效力。族长或占星师若完全统治某地，身边聚集的灵能阴影便愈发浓厚、黑暗，最终开始凝聚。不断收缩的瘴气化为多肢的基因窃取者魔宠，忠诚侍奉占星师。教派还拥有称为赐灵者的格外强大灵能者。,回核GW09/GW10第22页Magus占星师与Benefictus赐灵者，更新早期主教/圣祝者。
A0001-B0114,1,沃坦联盟的矮人的灵魂在亚空间中暗淡的燃烧，他们中很少有人表现出任何灵能能力。然而，他们拥有特殊的作用于灵能的克隆织锦，这使得灵能专家得以存在，最著名的是格林姆尼尔。使用特殊的屏障技术，这些专家可以提取亚空间的力量，并以类似于其他种族的灵能力量的方式表现出来。,沃坦联盟矮人的灵魂在亚空间中光芒微弱，族人也很少显现灵能。不过，他们拥有特殊的灵能活性克隆织锦，因而仍能培育出灵能专家，其中最具代表性的便是格林姆尼尔。借助专门的屏障技术，这些专家可以引出亚空间的力量，并以类似其他种族灵能的方式施展出来。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0002-B0002,2,机器人是能够自动完成复杂任务的人工构造体。机器人被银河系中过去和现在的各种派系使用。,机器人是能够自动完成复杂任务的人造构造体。无论过去还是现在，银河系中的许多势力都会使用机器人。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0002-B0008,2,在黑暗技术时代，人类大量使用机器人构造。这最终导致了铁人的诞生，他们最终在一场毁灭性的战争中反抗了他们的主人。,在黑暗科技时代，人类曾广泛使用机器人。这项技术最终发展出了铁人，而铁人后来掀起了一场毁灭性的战争，反抗自己的创造者。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0002-B0010,2,由于对铁人的创伤经历，帝国即使在早期也有严格的法律禁止创造硅基知灵或憎恶智能。相比之下，被称为自动机兵的帝国机器人要简单得多，并且受到机械神教智控军团等机构的严格监管。帝国进一步限制了对复杂机器人的需求，利用基于生物的机仆完成传统上留给机器人的任务。创造一个认知能力超出既定规定的机器人是一种严重的技术异端，受到机械教辖区裁判所的残酷惩罚。,与铁人作战的惨痛经历，使帝国在建立之初便以严厉的法律禁止制造硅基知灵，也就是所谓的“憎恶智能”。相比之下，帝国使用的自动机兵结构和智能都简单得多，且受到机械修会智控军团等机构的严格监管。帝国还使用以生物体为基础改造而成的机仆，承担过去通常交给机器人的工作，从而减少对复杂机器人的需求。制造认知能力超出法定限度的机器人，被视为严重的科技异端行为，会受到机械教辖区裁判所的严酷惩处。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0002-B0021,2,Kastelan Robot 卡斯特兰机兵,Kastelan Robot 卡斯特兰机器人,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0002-B0044,2,混沌星际战士的黑暗机械教和次元铁匠通常更喜欢恶魔引擎而不是标准机器人。这些都是人工构造体，但包含了恶魔的灵魂。然而，在荷鲁斯叛乱的早期阶段，黑暗机械教的技术神甫涉足机器人技术，最终创造了卡班机械。此外，在早期的传说中，混沌机器人是由混沌矮人制造的。混沌机器人还以其他方式表现出来，比如青铜恶意。,黑暗机械教与混沌星际战士的次元铁匠通常偏爱恶魔引擎，而非普通机器人。恶魔引擎虽然同样属于人造构造体，却囚禁着恶魔的灵魂。不过，在荷鲁斯之乱初期，黑暗机械教的技术祭司也曾涉足机器人技术，并最终造出了卡班机械。较早的设定还记载，混沌矮人曾制造混沌机器人。混沌的机器人造物也有其他形态，例如青铜恶意。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0002-B0046,2,然而，众所周知，黑暗机械教利用机器人技术，并倾向于使用一种称为硅基沉默者的群体格式塔智能。,黑暗机械教也确实会使用机器人技术，并偏爱一种名为“硅基沉默者”的群体格式塔智能。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0002-B0055,2,在灵族帝国时期，所有的劳动和战争都是由被称为灵魂无人机的机械构造体进行的。由于灵族的衰落，今天的方舟灵族不使用机器人。方舟灵族转而使用幽冥构造体，将牺牲灵族的灵魂保存在魂石中。然而，黑暗灵族仍然使用部分机械部分生物的人工结构体，称为痛苦引擎，如塔罗斯痛苦引擎和克洛诺斯寄生引擎。,在灵族帝国时期，劳动与战争都由名为灵魂无人机的机械构造体承担。灵族陨落之后，如今的方舟灵族不再使用机器人，而是改用幽冥构造体，其中的魂石保存着逝去灵族的灵魂。黑暗灵族则仍在使用机械与生物组织结合的人造构造体，统称痛苦引擎，塔罗斯痛苦引擎和克洛诺斯寄生引擎便属此列。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0002-B0057,2,Wraithguard 幽冥卫士,Wraithguard 幽冥护卫,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0002-B0058,2,Wraithblades 幽冥剑士,Wraithblades 幽冥之刃,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0002-B0061,2,Orks 欧克,Orks 欧克蛮人,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0002-B0063,2,尽管欧克能够取得巨大的技术成就，但他们喜欢亲自体验战争的各个方面，同时依靠鼻涕精和屁精进行任何卑微的劳动，因此通常不使用机器人。然而，一些技师小子仍然以各种敌人的形式创造了自己的机器人，被称为罐头小子。,欧克蛮人虽然能够创造出惊人的技术成果，却更喜欢亲身参与战争的各个环节，杂役劳动则交给屁精和鼻涕精，因此通常不会使用机器人。不过，一些技师小子仍模仿各类敌人的外形，造出了自己的机器人，称为罐头小子。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0002-B0066,2,钛帝国大量使用自动构造体，最著名的是机蜂。,钛帝国广泛使用自动化构造体，其中最具代表性的就是机蜂。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
