篇号,篇名,分类,状态,稿件路径,来源
40,低哥特语 Low Gothic,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0040.md,https://www.bilibili.com/opus/1124634742673637393
41,帝国天鹰 Aquila,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0041.md,https://www.bilibili.com/opus/1176116011648155648
42,帝国货币 Imperial Currencies,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0042.md,https://www.bilibili.com/opus/1177943352777113625
43,帝国真理 Imperial Truth,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0043.md,https://www.bilibili.com/opus/1052614806889037843
44,帝国文化 Imperium Culture,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0044.md,https://www.bilibili.com/opus/1173958615236608006
45,帝国律法 Lex Imperialis,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0045.md,https://www.bilibili.com/opus/1140605531270938629
46,帝国什一税 Imperial Tithe,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0046.md,https://www.bilibili.com/opus/1138747236409147397
47,帝国历法 Imperial Calendar,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0047.md,https://www.bilibili.com/opus/1180225840072359959
48,帝国饮食 Imperium Food,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0048.md,https://www.bilibili.com/opus/1174280587430592517
49,无束阿斯塔特统治 The Reign of the Astartes Unfettered,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0049.md,https://www.bilibili.com/opus/1190563886510637077
50,麻醉药物 Narcotics,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0050.md,https://www.bilibili.com/opus/1174690885699371012
51,硅基知灵 Silica Animus,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0051.md,https://www.bilibili.com/opus/1175750475606130688
52,标准模板构造 Standard Template Construct,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0052.md,https://www.bilibili.com/opus/1192961526255845377
53,远征 Crusade,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0053.md,https://www.bilibili.com/opus/1129430404364763145
54,远征舰队 Expeditionary Fleet,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0054.md,https://www.bilibili.com/opus/1181739506820186118
55,信仰战争 War of Faith,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0055.md,https://www.bilibili.com/opus/1130087216534519858
56,原体计划 Primarch Project,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0056.md,https://www.bilibili.com/opus/1089684815659139094
57,网道计划 Webway Project,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0057.md,https://www.bilibili.com/opus/1053726550609887285
58,尼凯亚会议 Council of Nikaea,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0058.md,https://www.bilibili.com/opus/1057805416616951817
59,塑钢 Plasteel,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0059.md,https://www.bilibili.com/opus/1213641793737850882
60,陶钢 Ceramite,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0060.md,https://www.bilibili.com/opus/1213634067150405633
61,帝国摄政 Imperial Regent,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0061.md,https://www.bilibili.com/opus/1125680820604895248
62,帝国最高统帅 Lord Commander of the Imperium,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0062.md,https://www.bilibili.com/opus/1137890094071414790
63,星区领主 Sector Lord,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0063.md,https://www.bilibili.com/opus/1145376376689262596
64,帝国指挥官 Imperial Commander,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0064.md,https://www.bilibili.com/opus/1143871364314169367
65,舰队司令 Fleetmaster,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0065.md,https://www.bilibili.com/opus/1122819101092216848
66,老兵 Veteran,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0066.md,https://www.bilibili.com/opus/1051858712250023940
67,执法者 Enforcer,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0067.md,https://www.bilibili.com/opus/1127231625884598309
68,合法灵能者 Sanctioned Psyker,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0068.md,https://www.bilibili.com/opus/1144255480381571077
69,帝国任职者 Adept,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0069.md,https://www.bilibili.com/opus/1179534444872073239
70,行商浪人 Rogue Trader,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0070.md,https://www.bilibili.com/opus/1213262990519828480
71,虚空盾 Void shield,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0071.md,https://www.bilibili.com/opus/1066359900514287633
72,盖勒力场 Gellar Field,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0072.md,https://www.bilibili.com/opus/1091506117986484233
73,黄金王座 Golden Throne,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0073.md,https://www.bilibili.com/opus/1052221774423392279
74,黑暗琉璃 Dark Glass,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0074.md,https://www.bilibili.com/opus/1203650110727127063
75,七锤护身符 Talisman of Seven Hammers,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0075.md,https://www.bilibili.com/opus/1066360098114240518
76,帝皇塔罗牌 Emperor's Tarot,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0076.md,https://www.bilibili.com/opus/1052221937620615234
77,雷霆战士 Thunder Warrior,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0077.md,https://www.bilibili.com/opus/1055305612467896377
78,生物技术部 Biotechnical Division,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0078.md,https://www.bilibili.com/opus/1106489214529175558
79,泰拉议会 Council of Terra,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0079.md,https://www.bilibili.com/opus/1057805274861010945
80,帝国参议院 Senatorum Imperialis,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0080.md,https://www.bilibili.com/opus/1070767151132966928
81,帝国无敌舰队 Imperialis Armada,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0081.md,https://www.bilibili.com/opus/1144653207282122760
82,帝国军 Imperial Army,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0082.md,https://www.bilibili.com/opus/1130468927463227401
83,太阳辅助军 Solar Auxilia,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0083.md,https://www.bilibili.com/opus/1151727550976753686
84,基诺五二千连团 Geno Five-Two Chiliad,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0084.md,https://www.bilibili.com/opus/1056407705376260100
85,行星防御部队 Planetary Defence Forces,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0085.md,https://www.bilibili.com/opus/1127229229290749961
86,帝国民兵 Imperialis Militia,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0086.md,https://www.bilibili.com/opus/1150504481748680711
87,卡戎议会 Council of Charon,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0087.md,https://www.bilibili.com/opus/1207333345817526297
88,通信部 Officio Communicatus,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0088.md,https://www.bilibili.com/opus/1140886611124289568
89,宣传部 Officio Propagandum,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0089.md,https://www.bilibili.com/opus/1140887650525249556
90,后勤部 Officio Logisticarum,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0090.md,https://www.bilibili.com/opus/1139883813584764931
91,破袭庭 Officio Sabatorum,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0091.md,https://www.bilibili.com/opus/1137893448459747337
92,殖民部 Departmento Colonia,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0092.md,https://www.bilibili.com/opus/1139375272296972309
93,星图会 Astra Cartographica,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0093.md,https://www.bilibili.com/opus/1140110454702473234
94,灵能圣殿 Templars Psykologis,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0094.md,https://www.bilibili.com/opus/1137913424335863816
95,历史真理部 Logos Historica Verita,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0095.md,https://www.bilibili.com/opus/1140614967352885288
96,先驱打击部队 Strike Force Herald,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0096.md,https://www.bilibili.com/opus/1034708744635678720
97,第三不屈远征舰队 Indomitus Crusade Fleet Tertius,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0097.md,https://www.bilibili.com/opus/1123400931706142737
98,审判庭 Inquisition,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0098.md,https://www.bilibili.com/opus/1070767756735938576
99,绝对封锁 Cordon Impenetra,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0099.md,https://www.bilibili.com/opus/1136557670640123905
100,恶魔审判庭 Ordo Malleus,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0100.md,https://www.bilibili.com/opus/1144597888069795843
101,异形审判庭 Ordo Xenos,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0101.md,https://www.bilibili.com/opus/1144265638015926274
102,异端审判庭 Ordo Hereticus,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0102.md,https://www.bilibili.com/opus/1144276173549731844
103,托尔派 Thorians,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0103.md,https://www.bilibili.com/opus/1080489346476277765
104,审判官 Inquisitor,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0104.md,https://www.bilibili.com/opus/1148431919480832006
105,侍从 Acolyte,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0105.md,https://www.bilibili.com/opus/1148800277330001925
106,国教会 Ecclesiarchy,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0106.md,https://www.bilibili.com/opus/1051859335011893283
107,帝皇信仰 Imperial Cult,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0107.md,https://www.bilibili.com/opus/1051859219066650630
108,最高圣会 Holy Synod,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0108.md,https://www.bilibili.com/opus/1142350632318926871
109,忠嗣学院 Schola Progenia,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0109.md,https://www.bilibili.com/opus/1144989159615627267
110,世俗教务部 Creed Temporal,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0110.md,https://www.bilibili.com/opus/1142365681925226501
111,教会民兵 Frateris Militia,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0111.md,https://www.bilibili.com/opus/1150202708765966345
112,银河传教团 Missionaria Galaxia,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0112.md,https://www.bilibili.com/opus/1142724642422652946
113,圣堂兄弟会 Frateris Templar,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0113.md,https://www.bilibili.com/opus/1144972757137621016
114,红衣主教 Cardinal,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0114.md,https://www.bilibili.com/opus/1208160569385811984
115,告解者 Confessor,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0115.md,https://www.bilibili.com/opus/1208152829888299016
116,传教士 Missionary,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0116.md,https://www.bilibili.com/opus/1144982893242613766
117,教廷牧师 Ministorum Priest,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0117.md,https://www.bilibili.com/opus/1076691461512101894
118,修女会 Adepta Sororitas,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0118.md,https://www.bilibili.com/opus/1144944921427312646
119,战斗修女 Sisters of Battle,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0119.md,https://www.bilibili.com/opus/1127132206033010711
120,神圣玫瑰修会 The Order of the Sacred Rose,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0120.md,https://www.bilibili.com/opus/1209327928644468756
121,白色玫瑰修会 The Order of the White Rose,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0121.md,https://www.bilibili.com/opus/1202479212418564105
122,受伤之心修会 The Order of the Wounded Heart,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0122.md,https://www.bilibili.com/opus/1208601220165402660
123,炽热之泪修会 The Order of the Fiery Tear,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0123.md,https://www.bilibili.com/opus/1202479182362181651
124,机械修会 Adeptus Mechanicus,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0124.md,https://www.bilibili.com/opus/1056644280766955520
125,机械教派 Cult Mechanicus,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0125.md,https://www.bilibili.com/opus/1126031483202437129
126,万机神 Machine God,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0126.md,https://www.bilibili.com/opus/1176906173965664263
127,欧姆尼赛亚 Omnissiah,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0127.md,https://www.bilibili.com/opus/1176989401837731894
128,机械之语 Cant Mechanicus,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0128.md,https://www.bilibili.com/opus/1127223332305895448
129,技术之语 Lingua Technis,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0129.md,https://www.bilibili.com/opus/1176471682190147587
130,机魂 Machine Spirit,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0130.md,https://www.bilibili.com/opus/1048519585638121496
131,智控神术 Cybertheurgy,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0131.md,https://www.bilibili.com/opus/1177220406700933126
132,铸造神殿 Forge Temple,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0132.md,https://www.bilibili.com/opus/1197321837179043877
133,奥林匹斯条约 Treaty of Olympus,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0133.md,https://www.bilibili.com/opus/1056644010224910358
134,护教军 Skitarii,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0134.md,https://www.bilibili.com/opus/1127517627808219159
135,百机队 Centurio Ordinatus,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0135.md,https://www.bilibili.com/opus/1147921101848838196
136,机神禁卫军 Taghmata Omnissiah,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0136.md,https://www.bilibili.com/opus/1150877641403793430
137,智控军团 Legio Cybernetica,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0137.md,https://www.bilibili.com/opus/1130869652220542983
138,辅军精锐 Auxilia Myrmidon,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0138.md,https://www.bilibili.com/opus/1147594057264922626
139,统合议会 Adnector Concillium,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0139.md,https://www.bilibili.com/opus/1141672018936070194
140,源还修会 Ordo Reductor,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0140.md,https://www.bilibili.com/opus/1147602788926095362
141,绝境学院 Collegiate Extremis,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0141.md,https://www.bilibili.com/opus/1141653786791510022
142,律法督查 Astynomia,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0142.md,https://www.bilibili.com/opus/1144593060541235204
143,辖区裁判所 Prefecture Magisterium,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0143.md,https://www.bilibili.com/opus/1141623541597208583
144,机械传教士教派 Sect Missionarius Mechanicus,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0144.md,https://www.bilibili.com/opus/1141630757142265865
145,机械教派战斗集群 Cult Mechanicus Battle Congregation,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0145.md,https://www.bilibili.com/opus/1152805789616832514
146,星界君主 Basilikon Astra,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0146.md,https://www.bilibili.com/opus/1143876041545089048
147,探索者舰队 Explorator Fleet,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0147.md,https://www.bilibili.com/opus/1141609995316494353
148,泰坦修会 Collegia Titanica,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0148.md,https://www.bilibili.com/opus/1126745650350784537
149,帝国泰坦 Imperial Titan,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0149.md,https://www.bilibili.com/opus/1147593889741275144
150,愤怒者军团 Legio Fureans,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0150.md,https://www.bilibili.com/opus/1198770894674067457
151,狮鹫军团 Legio Gryphonicus,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0151.md,https://www.bilibili.com/opus/1198839227621572609
152,帝国骑士 Imperial Knight,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0152.md,https://www.bilibili.com/opus/1127938972676259840
153,骑士家族卫队 Knight Household Guard,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0153.md,https://www.bilibili.com/opus/1147920496231186432
154,铸造将军 Fabricator-General,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0154.md,https://www.bilibili.com/opus/1196887233703968774
155,技术祭司 Tech-priest,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0155.md,https://www.bilibili.com/opus/1144638149141463042
156,贤者 Magi,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0156.md,https://www.bilibili.com/opus/1177589254160646160
157,基因士 Genetor,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0157.md,https://www.bilibili.com/opus/1178326034352701441
158,驭电祭司 Electro-priest,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0158.md,https://www.bilibili.com/opus/1147597978587889703
159,机仆 Servitor,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0159.md,https://www.bilibili.com/opus/1033597847068475400
160,中央政务部 Adeptus Terra,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0160.md,https://www.bilibili.com/opus/1070767086727331845
161,税务部 Adeptus Fidicius,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0161.md,https://www.bilibili.com/opus/1139882155751505957
162,星炬庭 Adeptus Astronomica,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0162.md,https://www.bilibili.com/opus/1144260660123664387
163,星语庭 Adeptus Astra Telepathica,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0163.md,https://www.bilibili.com/opus/1143884897744584705
164,灵魂结合仪式 Soul Binding,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0164.md,https://www.bilibili.com/opus/1052222010629816321
165,黑船联盟 League of Black Ships,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0165.md,https://www.bilibili.com/opus/1144233030592757763
166,灵能学院 Scholastia Psykana,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0166.md,https://www.bilibili.com/opus/1140510633968533506
167,黑色哨兵 Black Sentinels,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0167.md,https://www.bilibili.com/opus/1143526534262292487
168,寂静修女 Sisters of Silence,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0168.md,https://www.bilibili.com/opus/1060007798545317956
169,星语者 Astropath,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0169.md,https://www.bilibili.com/opus/1056407769834323972
170,法务部 Adeptus Arbites,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0170.md,https://www.bilibili.com/opus/1070767211298160679
171,仲裁官 Arbitrator,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0171.md,https://www.bilibili.com/opus/1149778396060844036
172,帝皇禁军 Adeptus Custodes,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0172.md,https://www.bilibili.com/opus/1067201576701001747
173,禁军元帅 Captain-General,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0173.md,https://www.bilibili.com/opus/1072639516392554503
