英文标准词	采用中文	译名状态	依据	定位	编辑说明
Uzgul da Magnificent	宏伟者乌兹古尔	暂定·官方待核	所给英文底稿	篇 0009	欧克人名和绰号，沿用原译。
Mindshackle Scarab	锁心圣甲虫	暂定·官方待核	所给英文底稿	篇 0009	复数 Mindshackle Scarabs。
Szarekhan Dynasty	斯扎拉坎王朝	暂定·官方待核	所给英文底稿	篇 0009	王朝名，待核官方。
Sautekh Dynasty	索泰克王朝	暂定·官方待核	所给英文底稿	篇 0009	王朝名，待核官方。
Slave Mastaba	奴隶马斯塔巴	暂定·官方待核	所给英文底稿	篇 0009	建筑称谓，复数 Slave Mastabas。
Zoat	佐亚特	暂定·官方待核	所给英文底稿	篇 0009	复数 Zoats；本段背景说法的版本问题另见校注。
The Order	秩序	暂定·官方待核	所给英文底稿	篇 0011	专名，行文作“秩序政权”以免与普通词混淆。
Great Crusade	大远征	暂定·官方待核	所给英文底稿	篇 0011–0017	历史事件。
Galaspar Cluster	加拉斯帕星团	暂定·官方待核	所给英文底稿	篇 0011	原译星群；与首都世界 Galaspar 区分。
Galaspar	加拉斯帕	暂定·官方待核	所给英文底稿	篇 0011	首都世界名称。
Lord Comptroller	领主审计长	暂定·官方待核	所给英文底稿	篇 0011	职衔，保留原译。
Avald Stevang	阿瓦尔德·斯特万	暂定·官方待核	所给英文底稿	篇 0011	人名，保留原译。
Mortarion	莫塔里安	官方已核对	GW-09	PDF 第 18 页；GW-10 英文第 18 页	原体人名。
Barbarus	巴巴鲁斯	暂定·官方待核	所给英文底稿	篇 0011	世界名称。
Protarkos	普罗塔克斯	暂定·官方待核	所给英文底稿	篇 0011	巢都名称。
Compliance	归顺；纳入帝国统治	暂定·官方待核	所给英文底稿	篇 0011 等	按事件语境措辞，不机械替换为“平定状态”。
Gardinaal	加迪纳尔	暂定·官方待核	所给英文底稿	篇 0012	文明名。
Astrid's Necklace	阿斯特丽德项链	暂定·官方待核	所给英文底稿	篇 0012	区域名，保留原译。
Age of Strife	纷争时代	暂定·官方待核	所给英文底稿	篇 0012、0017	历史时期。
Ferrus Manus	费鲁斯·马努斯	暂定·官方待核	所给英文底稿	篇 0012	原体名，保留原译。
Fall of the Lords of Gardinaal	加迪纳尔诸领主之陨	暂定·官方待核	所给英文底稿	篇 0012	战役名。
Gardinaal Prime	加迪纳尔主星	暂定·官方待核	所给英文底稿	篇 0012	原译加迪纳尔一号；依其首都地位暂用“主星”。
Gardinaal Quintus	加迪纳尔五号	暂定·官方待核	所给英文底稿	篇 0012	世界名。
Gardinaal Undecimus	加迪纳尔十一号	暂定·官方待核	所给英文底稿	篇 0012	世界名。
Interex	英特雷斯	暂定·官方待核	所给英文底稿	篇 0013	文明名。
Terra	泰拉	暂定·官方待核	所给英文底稿	篇 0013	世界名。
Kinebrach	基尼布拉赫	暂定·官方待核	所给英文底稿	篇 0013	种族名。
Megarachnid	巨蛛怪	暂定·官方待核	所给英文底稿	篇 0013	复数 Megarachnids。
Murder	谋杀	暂定·官方待核	所给英文底稿	篇 0013	此处为行星名，正文写“谋杀行星”或加引号。
Urisarach	乌里萨拉	暂定·官方待核	所给英文底稿	篇 0013	Murder 的英特雷斯名称；原文释义为蜘蛛之地。
Luna Wolves	影月苍狼	暂定·官方待核	所给英文底稿	篇 0013	军团旧称，勿自动替换为荷鲁斯之子。
Horus	荷鲁斯	暂定·官方待核	所给英文底稿	篇 0013–0015	人名；已核“荷鲁斯之乱”标题不单独当作此人物全名的直接核对。
Kaos	卡奥斯	暂定·官方待核	所给英文底稿	篇 0013	英特雷斯概念称谓，文内释为混沌等。
Erebus	艾瑞巴斯	暂定·官方待核	所给英文底稿	篇 0013	人名，保留原译。
Hall of Devices	器物殿堂	暂定·官方待核	所给英文底稿	篇 0013	收藏造物和武器的场所；原译设备大厅。
Anathame	仪式之刃	暂定·官方待核	所给英文底稿	篇 0013	暂沿用原译，英文保留；不能凭普通词义断定正式武器译名。
Interex mauler	英特雷斯猛击枪	暂定·官方待核	所给英文底稿	篇 0013	光束武器，保留原译。
Aria	咏叹调	暂定·官方待核	所给英文底稿	篇 0013	此处指英特雷斯音乐语言，不只指普通音乐曲式。
Diath Shehn	迪亚斯·谢恩	暂定·官方待核	所给英文底稿	篇 0013	人物名。
abbrocarius	交涉使	暂定·官方待核	所给英文底稿	篇 0013	按会谈职能暂译；原译中间人。
Gleves	长矛卫士	暂定·官方待核	所给英文底稿	篇 0013	依装备作说明性暂译。
Meturge	咏奏师	暂定·官方待核	所给英文底稿	篇 0013	Aria 专家；players 按演奏者理解。
Mithras Tull	密特拉斯·图尔	暂定·官方待核	所给英文底稿	篇 0013	人物名。
Xenobia	泽诺比娅	暂定·官方待核	所给英文底稿	篇 0013	地名，保留原译。
Garviel Loken	加维尔·洛肯	暂定·官方待核	所给英文底稿	篇 0013、0014	人物名。
Saggitars	弓手	暂定·官方待核	所给英文底稿	篇 0013	依本段功能说明性暂译；非星座名。
Shartiel Edge	沙提尔边境	暂定·官方待核	所给英文底稿	篇 0013	区域名，原译沙提尔边缘。
Jephta Naud	杰夫塔·诺德	暂定·官方待核	所给英文底稿	篇 0013	人物名。
Asherot	阿什洛特	暂定·官方待核	所给英文底稿	篇 0013	人物名。
Keeper of Devices	器物守护者	暂定·官方待核	所给英文底稿	篇 0013	职衔，与器物殿堂译名协调。
Auretian Technocracy	奥瑞提安技术联盟	暂定·官方待核	所给英文底稿	篇 0014	政权名称，暂沿用原译；Technocracy 的技术官僚统治含义另待核。
Aureus	奥里斯	暂定·官方待核	所给英文底稿	篇 0014	殖民地名。
Drakonis Three Eleven	德拉科尼斯三一一	暂定·官方待核	所给英文底稿	篇 0014	星团编号；原译3·11。
STC	标准建造模板	暂定·官方待核	所给英文底稿	篇 0014	本段按 STC template 的资料形态理解；不据此把所有 STC 语境视为同一种物件。
The Brotherhood	兄弟会	暂定·官方待核	所给英文底稿	篇 0014	奥瑞提安军事组织，不能与毁灭兄弟会合并。
Emory Salignac	埃默里·萨利尼亚克	暂定·官方待核	所给英文底稿	篇 0014	人物名。
Fabricator Consul	铸造执政官	暂定·官方待核	所给英文底稿	篇 0014	政权统治者职衔；不是领事外交官。
Vengeful Spirit	复仇之魂号	暂定·官方待核	所给英文底稿	篇 0014	舰名。
Sons of Horus	荷鲁斯之子	暂定·官方待核	所给英文底稿	篇 0014、0015	军团名。
Gordian League	戈尔迪安联盟	暂定·官方待核	所给英文底稿	篇 0015	文明名。
Shield World	盾牌世界	暂定·官方待核	所给英文底稿	篇 0015	复数 Shield Worlds。
Lion El'Jonson	莱昂·艾尔’庄森	官方已核对	GW-09	PDF 第 17 页；GW-10 英文第 17 页 Lion El’Jonson	较早官方资料也见无撇号写法“莱昂·艾尔庄森”，本批保留所核资料标点。
Isstvan III	伊斯塔万三号	暂定·官方待核	所给英文底稿	篇 0015	行星名。
Diamat	迪亚马特	暂定·官方待核	所给英文底稿	篇 0015	铸造世界名。
The Brotherhood of Ruin	毁灭兄弟会	暂定·官方待核	所给英文底稿	篇 0016	亚人政权名，不能与奥瑞提安的 The Brotherhood 合并。
Sarum	萨勒姆	暂定·官方待核	所给英文底稿	篇 0016	世界名。
Golgothan Slaughter	戈尔戈坦大屠杀	暂定·官方待核	所给英文底稿	篇 0016	事件名。
The Diasporex	流散者	暂定·官方待核	所给英文底稿	篇 0017	文明名；正文也见省略冠词 Diasporex。
Iron Hands	钢铁之手	暂定·官方待核	所给英文底稿	篇 0017	军团名。
Battle of the Corollis Star	科罗利斯恒星之战	暂定·官方待核	所给英文底稿	篇 0017	原译科罗利斯群星之战，英文 Star 为单数。
Solomon Demeter	所罗门·得墨忒耳	暂定·官方待核	所给英文底稿	篇 0017	人物名。
Fulgrim	福格瑞姆	官方已核对	GW-09	PDF 第 21 页；GW-10 英文第 21 页	原体名。
